timestamp,plant,production_line,machine_id,machine_type,status,uptime_seconds,total_runtime_hours,notes
2025-09-27 16:37:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1416.99,
2025-09-27 16:37:32,Plant A,Line 2,M02,Drill Press,Running,300,2498.59,
2025-09-27 16:37:32,Plant A,Line 1,M03,Drill Press,Running,300,3612.67,
2025-09-27 16:37:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2144.65,
2025-09-27 16:37:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2811.9,
2025-09-27 16:37:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.27,
2025-09-27 16:37:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.53,
2025-09-27 16:37:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.2,
2025-09-27 16:37:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.06,
2025-09-27 16:37:32,Plant A,Line 2,M10,CNC Lathe,Idle,0,3198.21,Idle
2025-09-27 16:37:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2225.77,
2025-09-27 16:37:32,Plant B,Line 2,M12,Drill Press,Down,0,3168.21,Unexpected stop
2025-09-27 16:37:32,Plant B,Line 1,M13,Drill Press,Idle,0,2933.69,Idle
2025-09-27 16:37:32,Plant B,Line 2,M14,CNC Mill,Running,300,3437.62,
2025-09-27 16:37:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.02,
2025-09-27 16:37:32,Plant B,Line 2,M16,CNC Mill,Idle,0,4615.72,Idle
2025-09-27 16:37:32,Plant B,Line 1,M17,Drill Press,Idle,0,4590.35,Idle
2025-09-27 16:37:32,Plant B,Line 2,M18,CNC Mill,Running,300,3189.59,
2025-09-27 16:37:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2710.77,
2025-09-27 16:37:32,Plant B,Line 2,M20,Laser Cutter,Idle,0,3638.69,Idle
2025-09-27 16:42:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.07,
2025-09-27 16:42:32,Plant A,Line 2,M02,Drill Press,Running,300,2498.68,
2025-09-27 16:42:32,Plant A,Line 1,M03,Drill Press,Running,300,3612.75,
2025-09-27 16:42:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2144.74,
2025-09-27 16:42:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2811.98,
2025-09-27 16:42:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.35,
2025-09-27 16:42:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.61,
2025-09-27 16:42:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.29,
2025-09-27 16:42:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.14,
2025-09-27 16:42:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.29,
2025-09-27 16:42:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2225.85,
2025-09-27 16:42:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.29,
2025-09-27 16:42:32,Plant B,Line 1,M13,Drill Press,Idle,0,2933.69,Idle
2025-09-27 16:42:32,Plant B,Line 2,M14,CNC Mill,Running,300,3437.7,
2025-09-27 16:42:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.11,
2025-09-27 16:42:32,Plant B,Line 2,M16,CNC Mill,Running,300,4615.81,
2025-09-27 16:42:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.43,
2025-09-27 16:42:32,Plant B,Line 2,M18,CNC Mill,Running,300,3189.67,
2025-09-27 16:42:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2710.85,
2025-09-27 16:42:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3638.78,
2025-09-27 16:47:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.15,
2025-09-27 16:47:32,Plant A,Line 2,M02,Drill Press,Running,300,2498.76,
